"","PERTYPE","nmtours","freq"
"1","1","0",49396.064056027
"2","2","0",18106.289551627
"3","3","0",6821.565224539
"4","4","0",22837.91804372
"5","5","0",21934.54405215
"6","6","0",5082.65952073
"7","7","0",27210.989236118
"8","8","0",18004.593406717
"9","Total","0",169394.623091628
"10","1","1",10823.532521309
"11","2","1",7529.68782354
"12","3","1",2555.56386479
"13","4","1",16737.83731777
"14","5","1",18827.202798927
"15","6","1",839.5264721
"16","7","1",5922.59742112
"17","8","1",4579.8479496
"18","Total","1",67815.796169156
"19","1","2",2583.73270915
"20","2","2",1917.58560114
"21","3","2",984.31300868
"22","4","2",5378.77768608
"23","5","2",5395.94566953
"24","6","2",0
"25","7","2",101.32240616
"26","8","2",2056.99970944
"27","Total","2",18418.67679018
"28","1","3pl",338.72905401
"29","2","3pl",604.44346734
"30","3","3pl",144.96003444
"31","4","3pl",699.5025013
"32","5","3pl",855.33615893
"33","6","3pl",0
"34","7","3pl",32.74201217
"35","8","3pl",126.7753966
"36","Total","3pl",2802.48862479
