"purpose","nstops","freq_out","freq_inb"
"work","1",62825.68402438,52815.91355749
"univ","1",7876.13805974,7423.25250081
"sch","1",33918.741347998,28233.764634948
"esco","1",13785.87966339,11769.53894508
"imain","1",38579.736578329,35766.71603979
"idisc","1",40789.71586233,38400.67503093
"jmain","1",11295.524095129,9672.988715069
"jdisc","1",8399.882944669,7633.997745199
"atwork","1",5183.37743944,5238.2724764
"Total","1",222654.680015405,196955.119645716
"work","2",9930.0165298,13794.4728978
"univ","2",732.91958549,1231.44639297
"sch","2",2082.60590316,5573.50776202
"esco","2",444.87083276,1918.88942246
"imain","2",8740.32696701,9985.77741652
"idisc","2",7735.1047152,7898.38439003
"jmain","2",2764.73625658,3780.19178832
"jdisc","2",1485.67449951,2018.34462255
"atwork","2",1064.85455096,836.59142945
"Total","2",34981.10984047,47037.60612212
"work","3",2964.9943774,5543.53026729
"univ","3",403.63538737,55.19459202
"sch","3",494.67932922,1498.07116473
"esco","3",510.66985275,670.72552785
"imain","3",3384.78765218,3535.88312611
"idisc","3",2566.16441361,4407.64900918
"jmain","3",2072.69938719,1543.43307405
"jdisc","3",657.24123278,768.38487025
"atwork","3",78.02478042,80.52835955
"Total","3",13132.89641292,18103.39999103
"work","4",1863.93493331,5430.71314231
"univ","4",0,302.7995468
"sch","4",35.29013405,1225.97315273
"esco","4",184.80266273,567.06911624
"imain","4",2777.00572804,4193.480343139
"idisc","4",2123.00064265,2507.27720365
"jmain","4",687.36265096,1823.70881242
"jdisc","4",235.13869897,357.21013793
"atwork","4",102.62516533,273.48967075
"Total","4",8009.16061604,16681.721125969
