"purpose","stop_purp","freq"
"work","1",964.04146849
"univ","1",159.65505461
"sch","1",0
"esco","1",0
"imain","1",1864.46772875
"idisc","1",2039.29570797
"jmain","1",54.66994482
"jdisc","1",35.27414517
"atwork","1",6234.67658215
"Total","1",11352.08063196
"work","10",33494.41729132
"univ","10",553.60378316
"sch","10",169.79685248
"esco","10",0
"imain","10",291.47673512
"idisc","10",842.15879364
"jmain","10",124.5773425
"jdisc","10",0
"atwork","10",1279.07940404
"Total","10",36755.11020226
"work","2",564.0405422
"univ","2",569.12122321
"sch","2",0
"esco","2",0
"imain","2",0
"idisc","2",0
"jmain","2",0
"jdisc","2",0
"atwork","2",0
"Total","2",1133.16176541
"work","3",73.52646557
"univ","3",0
"sch","3",1299.30538543
"esco","3",0
"imain","3",0
"idisc","3",352.11141911
"jmain","3",0
"jdisc","3",104.3840456
"atwork","3",0
"Total","3",1829.32731571
"work","4",5158.19435384
"univ","4",113.07875466
"sch","4",2837.88605895
"esco","4",2296.47547222
"imain","4",4505.187518949
"idisc","4",7844.4733629
"jmain","4",1123.59640882
"jdisc","4",419.3580829
"atwork","4",0
"Total","4",24298.250013239
"work","5",11790.82614829
"univ","5",483.62837406
"sch","5",1351.50935929
"esco","5",1970.38399567
"imain","5",23417.69638962
"idisc","5",11299.81307327
"jmain","5",11085.30037553
"jdisc","5",2485.06869787
"atwork","5",221.85576305
"Total","5",64106.08217665
"work","6",10034.96420861
"univ","6",606.42262494
"sch","6",2456.73724173
"esco","6",2143.73560035
"imain","6",18188.940392646
"idisc","6",10884.79883276
"jmain","6",7596.53733748
"jdisc","6",2261.42846856
"atwork","6",1283.8481063
"Total","6",55457.412813376
"work","7",6366.23563466
"univ","7",294.62475711
"sch","7",1956.13914203
"esco","7",698.63935901
"imain","7",5589.615059109
"idisc","7",4935.57940285
"jmain","7",2864.64638545
"jdisc","7",1842.81508373
"atwork","7",613.91645921
"Total","7",25162.211283159
"work","8",1935.8053392
"univ","8",845.93715925
"sch","8",2174.02650586
"esco","8",417.08480892
"imain","8",3619.91649021
"idisc","8",6018.15291685
"jmain","8",614.5226412
"jdisc","8",392.20455331
"atwork","8",42.73464637
"Total","8",16060.38506117
"work","9",4465.84018852
"univ","9",486.56765184
"sch","9",3877.24618819
"esco","9",0
"imain","9",2944.53070598
"idisc","9",6303.68113101
"jmain","9",622.08819677
"jdisc","9",1233.72294802
"atwork","9",90.50842876
"Total","9",20024.18543909
