id,FACTYPE,am_vol,md_vol,pm_vol,day_vol
16010,3,243.000,3100.000,875.000,5550.000
16011,3,243.000,3100.000,875.000,5550.000
16020,3,374.000,4098.000,1168.000,7531.000
16021,3,374.000,4098.000,1168.000,7531.000
16030,3,207.000,2446.000,704.000,4587.000
16031,3,207.000,2446.000,704.000,4587.000
16040,3,180.000,1957.000,571.000,3600.000
16041,3,180.000,1957.000,571.000,3600.000
16050,3,164.000,1690.000,483.000,3075.000
16051,3,164.000,1690.000,483.000,3075.000
16060,3,123.000,1257.000,367.000,2308.000
16061,3,123.000,1257.000,367.000,2308.000
16070,4,82.000,898.000,273.000,1694.000
16071,4,82.000,898.000,273.000,1694.000
16080,4,54.000,561.000,167.000,1056.000
16081,4,54.000,561.000,167.000,1056.000
16090,4,32.000,387.000,112.000,703.000
16091,4,32.000,387.000,112.000,703.000
16110,4,14.000,165.000,47.000,287.000
16111,4,14.000,165.000,47.000,287.000
16250,3,769.000,7290.000,2196.000,13560.000
16251,3,770.000,7718.000,2337.000,14409.000
16270,3,1035.000,8549.000,2603.000,16255.000
16271,3,951.000,8478.000,2392.000,15734.000
16280,3,924.000,9530.000,2882.000,17758.000
16281,3,924.000,9530.000,2882.000,17758.000
16290,3,974.000,9521.000,2820.000,17558.000
16291,3,974.000,9521.000,2820.000,17558.000
16300,3,675.000,5785.000,1704.000,10770.000
16301,3,675.000,5785.000,1704.000,10770.000
16310,3,1092.000,6644.000,1694.000,11864.000
16311,3,630.000,5675.000,2117.000,11688.000
16320,3,955.000,6657.000,1937.000,12698.000
16321,3,955.000,6657.000,1937.000,12698.000
16330,3,1016.000,7332.000,2139.000,13756.000
16331,3,1016.000,7332.000,2139.000,13756.000
16340,3,897.000,6425.000,1869.000,12164.000
16341,3,897.000,6425.000,1869.000,12164.000
16350,3,1268.000,7655.000,1691.000,13377.000
16351,3,580.000,6014.000,2112.000,12191.000
16360,3,765.000,5099.000,1508.000,9618.000
16361,3,765.000,5099.000,1508.000,9618.000
16370,3,646.000,4665.000,1430.000,8952.000
16371,3,646.000,4665.000,1430.000,8952.000
16380,3,590.000,4201.000,1278.000,8123.000
16381,3,590.000,4201.000,1278.000,8123.000
16390,3,480.000,3299.000,990.000,6325.000
16391,3,480.000,3299.000,990.000,6325.000
16400,4,258.000,2155.000,598.000,3939.000
16401,4,258.000,2155.000,598.000,3939.000
16410,4,275.000,2130.000,583.000,3900.000
16411,4,275.000,2130.000,583.000,3900.000
16420,4,276.000,2098.000,577.000,3832.000
16421,4,276.000,2098.000,577.000,3832.000
16430,4,210.000,1652.000,466.000,3079.000
16431,4,210.000,1652.000,466.000,3079.000
16440,4,231.000,1782.000,493.000,3285.000
16441,4,231.000,1782.000,493.000,3285.000
16450,4,221.000,2054.000,574.000,3739.000
16451,4,221.000,2054.000,574.000,3739.000
16460,4,221.000,2139.000,580.000,3837.000
16461,4,221.000,2139.000,580.000,3837.000
16470,4,132.000,1245.000,351.000,2281.000
16471,4,132.000,1245.000,351.000,2281.000
16480,4,117.000,1102.000,308.000,1991.000
16481,4,117.000,1102.000,308.000,1991.000
16490,4,72.000,945.000,272.000,1698.000
16491,4,118.000,988.000,274.000,1781.000
16500,4,87.000,853.000,226.000,1503.000
16501,4,87.000,853.000,226.000,1503.000
16720,30,363.000,3035.000,754.000,5168.000
16730,3,631.000,6973.000,1674.000,12039.000
16740,3,668.000,7234.000,1752.000,12289.000
16750,3,617.000,8288.000,2126.000,14043.000
16760,3,644.000,8754.000,2294.000,14680.000
16770,3,699.000,10833.000,3028.000,18359.000
16780,3,662.000,9102.000,2478.000,15750.000
16810,3,546.000,8361.000,2459.000,14800.000
16820,3,578.000,8853.000,2588.000,15451.000
16830,3,760.000,10612.000,3125.000,19025.000
16840,3,793.000,10593.000,3204.000,19146.000
16851,3,252.000,2662.000,872.000,5083.000
16861,3,474.000,6450.000,1756.000,11509.000
16881,3,525.000,7750.000,1984.000,13104.000
16891,3,805.000,10240.000,2623.000,16975.000
16901,3,664.000,8703.000,2105.000,14674.000
16911,3,786.000,9101.000,2137.000,15164.000
16921,3,754.000,9120.000,2149.000,15101.000
16931,3,750.000,8740.000,2086.000,14458.000
16941,3,733.000,8924.000,2068.000,14638.000
16951,3,847.000,8825.000,2056.000,14526.000
16961,3,1029.000,10954.000,2678.000,18802.000
16971,3,1150.000,10768.000,2603.000,18408.000
16990,3,444.000,6337.000,2112.000,11992.000
16991,3,843.000,6942.000,1545.000,11902.000
17000,3,439.000,4523.000,1232.000,8094.000
17001,3,439.000,4523.000,1232.000,8094.000
17010,3,512.000,4982.000,1315.000,8780.000
17011,3,512.000,4982.000,1315.000,8780.000
17020,3,360.000,3451.000,896.000,6088.000
17021,3,360.000,3451.000,896.000,6088.000
17030,3,267.000,2710.000,710.000,4829.000
17031,3,267.000,2710.000,710.000,4829.000
