"purpose","nstops","freq_out","freq_inb"
"work","1",65163,61509
"univ","1",5366,5405
"sch","1",43532,41597
"esco","1",47580,45212
"imain","1",52094,51301
"idisc","1",29177,28811
"jmain","1",9630,9781
"jdisc","1",9300,9149
"atwork","1",6717,6729
"Total","1",268559,259494
"work","2",15454,17171
"univ","2",1282,1121
"sch","2",4107,5055
"esco","2",4065,6120
"imain","2",11952,11971
"idisc","2",3172,3467
"jmain","2",2360,2110
"jdisc","2",806,939
"atwork","2",460,405
"Total","2",43658,48359
"work","3",4198,4355
"univ","3",156,231
"sch","3",355,909
"esco","3",1051,1177
"imain","3",3865,4104
"idisc","3",929,989
"jmain","3",734,772
"jdisc","3",173,166
"atwork","3",7,59
"Total","3",11468,12762
"work","4",927,2707
"univ","4",5,52
"sch","4",35,468
"esco","4",464,651
"imain","4",1642,2177
"idisc","4",469,480
"jmain","4",273,334
"jdisc","4",55,80
"atwork","4",15,6
"Total","4",3885,6955
